ResponseID,CustomerID,CampaignID,ResponseDate,Action
1,177,28,2020-11-20,Ignored
2,731,58,2022-12-06,Clicked
3,2258,48,2022-06-28,Purchased
4,3480,41,2021-07-15,Visited Website
5,1219,33,2021-07-05,Clicked
6,3193,57,2021-10-27,Ignored
7,746,48,2022-06-30,Purchased
8,3788,1,2021-07-02,Purchased
9,1774,17,2022-07-02,Purchased
10,2258,36,2021-06-20,Purchased
11,702,16,2021-08-26,Clicked
12,167,28,2020-11-26,Purchased
13,2613,21,2021-09-21,Ignored
14,2122,9,2022-05-24,Ignored
15,2047,5,2023-03-06,Visited Website
16,2148,9,2022-05-28,Clicked
17,1229,37,2020-08-25,Purchased
18,3624,35,2020-05-10,Ignored
19,77,43,2021-04-19,Visited Website
20,601,36,2021-06-22,Clicked
21,2892,30,2022-07-20,Ignored
22,3395,23,2022-05-23,Visited Website
23,3955,19,2020-12-10,Purchased
24,552,10,2022-08-21,Visited Website
25,1180,11,2020-08-06,Clicked
26,3107,33,2021-06-23,Ignored
27,1473,3,2021-01-21,Clicked
28,747,34,2020-10-02,Visited Website
29,3261,44,2020-10-06,Visited Website
30,3664,44,2020-10-04,Visited Website
31,2849,40,2022-04-12,Clicked
32,2179,31,2020-05-25,Visited Website
33,171,11,2020-07-26,Ignored
34,2789,14,2022-08-05,Ignored
35,3449,26,2022-04-21,Ignored
36,1504,22,2022-05-13,Ignored
37,3953,49,2023-02-28,Ignored
38,1926,34,2020-10-10,Purchased
39,3383,35,2020-05-16,Clicked
40,2121,5,2023-03-18,Ignored
41,3123,37,2020-08-12,Visited Website
42,3941,31,2020-05-14,Purchased
43,183,8,2022-11-21,Visited Website
44,2924,24,2021-07-17,Purchased
45,2210,55,2021-09-26,Visited Website
46,2384,59,2021-12-13,Ignored
47,2013,17,2022-07-06,Clicked
48,2146,7,2023-01-16,Ignored
49,3435,12,2020-05-18,Purchased
50,1518,49,2023-02-18,Purchased
51,3140,50,2020-10-05,Visited Website
52,2893,44,2020-10-02,Purchased
53,1617,4,2021-09-06,Visited Website
54,2834,22,2022-05-01,Ignored
55,333,34,2020-10-02,Purchased
56,339,42,2022-09-30,Ignored
57,3613,53,2020-10-04,Purchased
58,56,40,2022-03-31,Purchased
59,999,14,2022-07-30,Clicked
60,1499,15,2021-08-11,Purchased
61,3233,54,2020-08-24,Visited Website
62,848,28,2020-12-05,Visited Website
63,3479,26,2022-04-10,Purchased
64,667,59,2021-11-27,Purchased
65,1126,3,2021-01-19,Clicked
66,2000,56,2022-12-16,Ignored
67,1080,46,2021-11-13,Clicked
68,340,53,2020-10-05,Purchased
69,1061,58,2022-12-08,Purchased
70,2611,3,2021-01-11,Clicked
71,3554,23,2022-05-29,Ignored
72,3063,7,2023-01-13,Visited Website
73,907,51,2022-02-14,Ignored
74,3599,48,2022-07-01,Ignored
75,2915,1,2021-07-18,Clicked
76,3259,11,2020-07-22,Clicked
77,558,54,2020-08-26,Purchased
78,480,6,2022-07-09,Ignored
79,554,7,2023-01-25,Clicked
80,1424,60,2022-02-08,Visited Website
81,1097,47,2020-04-23,Visited Website
82,793,31,2020-05-16,Visited Website
83,3854,31,2020-05-21,Visited Website
84,3299,46,2021-11-12,Clicked
85,1087,8,2022-11-19,Visited Website
86,81,36,2021-07-02,Visited Website
87,310,4,2021-08-23,Purchased
88,2207,41,2021-07-21,Ignored
89,69,21,2021-09-23,Visited Website
90,3777,45,2022-01-04,Visited Website
91,3677,31,2020-05-30,Visited Website
92,1364,2,2020-06-17,Clicked
93,3151,60,2022-02-18,Ignored
94,331,56,2023-01-06,Visited Website
95,1217,51,2022-02-03,Purchased
96,1456,51,2022-02-10,Purchased
97,1395,16,2021-08-21,Ignored
98,2939,27,2022-12-11,Clicked
99,1687,48,2022-06-22,Clicked
100,1619,55,2021-10-13,Purchased
101,2247,10,2022-08-09,Ignored
102,816,3,2021-01-08,Purchased
103,976,6,2022-07-29,Ignored
104,3954,47,2020-04-24,Purchased
105,1909,12,2020-05-24,Visited Website
106,2049,57,2021-10-29,Visited Website
107,3012,42,2022-09-30,Purchased
108,3010,20,2021-03-16,Purchased
109,2386,55,2021-09-26,Clicked
