OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,TotalAmount
2,3818,2,2022-10-05,1,199.99,199.99
3,1147,6,2023-02-21,1,149.99,149.99
4,1313,8,2021-08-30,1,99.99,99.99
5,1948,7,2022-05-20,1,89.99,89.99
6,2884,8,2020-05-24,3,99.99,299.96999999999997
7,3960,7,2022-01-04,2,89.99,179.98
8,965,6,2020-10-22,3,149.99,449.97
9,2086,8,2023-03-12,1,99.99,99.99
10,3988,1,2022-03-11,1,129.99,129.99
11,2248,1,2021-05-13,1,129.99,129.99
12,2678,6,2021-09-11,2,149.99,299.98
13,2977,8,2021-12-10,3,99.99,299.96999999999997
14,1652,1,2022-02-01,1,129.99,129.99
15,57,5,2022-10-10,1,249.99,249.99
16,1197,1,2022-08-15,3,129.99,389.97
17,499,1,2021-03-09,3,129.99,389.97
19,316,2,2022-11-17,1,199.99,199.99
20,3292,3,2022-12-17,1,179.99,179.99
21,3305,3,2022-07-28,2,179.99,359.98
22,2292,5,2021-09-24,2,249.99,499.98
23,3928,4,2022-09-05,1,39.99,39.99
24,1023,6,2023-01-11,3,149.99,449.97
26,2483,8,2022-04-27,2,99.99,199.98
27,82,7,2021-05-06,1,89.99,89.99
28,3935,5,2020-11-07,1,249.99,249.99
30,2332,5,2021-05-31,2,249.99,499.98
32,3671,5,2021-07-18,1,249.99,249.99
33,2913,4,2020-11-09,3,39.99,119.97
36,33,6,2023-01-18,3,149.99,449.97
37,2461,7,2020-04-25,2,89.99,179.98
38,2793,6,2021-06-26,2,149.99,299.98
39,2529,2,2022-11-20,2,199.99,399.98
40,1386,1,2021-10-10,3,129.99,389.97
41,2506,5,2022-03-07,3,249.99,749.97
42,2721,7,2023-01-06,2,89.99,179.98
43,2694,6,2022-02-18,2,149.99,299.98
44,2860,1,2022-01-30,1,129.99,129.99
45,2138,3,2021-01-04,2,179.99,359.98
46,1612,7,2021-08-05,1,89.99,89.99
47,2052,6,2021-01-21,1,149.99,149.99
48,900,2,2023-02-12,1,199.99,199.99
50,3484,2,2022-07-09,1,199.99,199.99
51,2337,6,2021-06-21,3,149.99,449.97
52,735,1,2022-03-07,3,129.99,389.97
53,3678,6,2021-12-23,1,149.99,149.99
54,1881,8,2021-11-28,3,99.99,299.96999999999997
55,3739,6,2022-10-27,1,149.99,149.99
57,1287,4,2022-10-20,1,39.99,39.99
58,1616,2,2021-09-19,3,199.99,599.97
59,2241,7,2021-01-29,3,89.99,269.96999999999997
61,3395,4,2020-08-27,1,39.99,39.99
62,1395,8,2021-11-29,2,99.99,199.98
63,3664,1,2021-06-18,2,129.99,259.98
64,3869,7,2022-05-10,1,89.99,89.99
65,1462,2,2020-11-02,2,199.99,399.98
66,2450,3,2022-06-24,3,179.99,539.97
67,2840,6,2022-12-05,3,149.99,449.97
68,3026,1,2021-12-14,2,129.99,259.98
69,3500,1,2020-10-09,3,129.99,389.97
70,3054,1,2022-03-31,2,129.99,259.98
71,1561,5,2021-06-30,1,249.99,249.99
73,1580,1,2021-11-05,2,129.99,259.98
