SessionID,CustomerID,SessionDate,PageViews,BounceRate,TimeOnSite_Min
1,2352,2020-08-29,2,0.19,1.71
2,3855,2020-06-06,10,0.26,5.41
3,3353,2020-04-29,4,0.76,8.52
4,751,2020-07-17,4,0.65,3.64
5,1068,2022-03-16,4,0.39,11.43
6,2993,2022-10-23,5,0.88,8.28
7,3998,2023-01-19,1,0.47,3.01
8,3367,2021-01-06,1,0.45,12.2
9,1556,2021-08-17,1,0.41,4.94
10,3984,2020-07-10,6,0.61,2.73
11,1284,2021-03-17,5,0.75,7.69
12,3237,2021-12-08,2,0.85,13.66
13,2060,2022-12-16,5,0.55,4.43
14,756,2020-12-20,3,0.46,13.3
15,425,2020-11-29,8,0.3,3.44
16,1480,2021-01-28,1,0.45,5.58
17,1386,2022-07-23,3,0.38,10.33
18,1848,2023-01-09,4,0.69,11.85
19,976,2020-04-28,9,0.6,7.36
20,2209,2020-07-26,3,0.4,3.53
21,1942,2021-03-01,9,0.89,8.83
22,3806,2023-01-25,10,0.64,12.58
23,760,2022-02-27,5,0.76,6.02
24,3129,2020-05-20,7,0.64,5.67
25,2648,2020-12-31,2,0.7,10.81
26,1185,2020-05-17,6,0.77,6.51
27,3044,2022-08-27,5,0.45,11.74
28,2059,2023-01-09,4,0.76,1.08
29,3898,2022-08-18,2,0.87,3.38
30,245,2020-08-20,9,0.4,8.54
31,1781,2022-10-15,5,0.49,1.13
32,3564,2021-07-29,9,0.57,11.67
33,1316,2020-04-08,6,0.71,2.75
34,1005,2020-07-26,7,0.46,1.61
35,889,2021-06-05,4,0.44,3.01
36,1129,2021-11-24,1,0.69,13.71
37,951,2022-11-14,1,0.74,5.33
38,3254,2021-11-23,8,0.49,10.96
39,1336,2020-08-06,4,0.32,12.91
40,871,2023-03-31,4,0.18,2.37
41,1701,2021-04-02,1,0.7,9.22
42,2352,2021-12-18,2,0.41,4.75
43,1338,2020-05-26,6,0.77,7.83
44,1848,2022-03-25,3,0.67,10.96
